;11-501;11-502;11-503;11-504;11-505;11-506;11-507;11-511;11-512; 11-541;11-521;11-522;11-531;11-400 ;11-401;11-402;11-403;11-404;11-405;11-406;11-407;11-408;11-409;11-411 ;11-412 ;11-413а ;11-301;11-302;11-303;11-304;11-305;11-306;11-307;11-308;11-311 ;11-312 ;11-314а;11-200;11-201;11-202;11-203;11-204;11-205;11-206;11-207;11-208;11-209;11-210 ;11.1-521;11.1-522;11.1-531;11.1-541;11.1-551;11.1-552;11.1-561;11.1-571
08.30-10.00;;;;;;;;;;;;;;;;;;;;;;;;;;Иностранный язык,




10.10-11.40;Элективные курсы по физической культуре и спорту   (10:00-11:30);;;;;;;Элективные курсы по физической культуре и спорту   (10:00-11:30)
;Элективные курсы по физической культуре и спорту   (10:00-11:30);Элективные курсы по физической культуре и спорту   (10:00-11:30);;Элективные курсы по физической культуре и спорту   (10:00-11:30) (вебинары);;;;;;;;;Базы данных,


;;;Иностранный язык,



Дисциплина по выбору:
;;;;;;;;;;;;;;;;;;;;;;                                                                                                                                                    
12.10-13.40;Математический анализ,


Дискретная математика,
Философия,





История России,


Алгебра и геометрия, Ильин С.Н.

;;История России, Новоселов А.Л., 
;История России, Новоселов А.Л., лек. 
;;Алгоритмы и структуры данных в программировании,


  Элективные курсы по физической культуре и спорту  УНИКС, 12:00 - 13:30                                                                ;;;;;;;;;;  Элективные курсы по физической культуре и спорту, 

;  Элективные курсы по физической культуре и спорту,

Дисциплина по выбору:
;;;;;;;Основы научной коммуникации,

;Практикум по управлению разработкой ПО,



;;;;;;;;;;;;;Перспективные системы управления робототехнических систем Цой Т.Г.по н.н. лекция по ч.н.прак. в 1405
13.50-15.20;История России,  

;;;Философия,


История России,


Математический анализ,


Дискретная математика,

Алгоритмы и структуры данных,


Алгоритмы и структуры данных в программировании,


Линейная алгебра для IT,

;Линейная алгебра для IT,


Машинное обучение,


Машинное обучение,


Основы профилактики и противодействия терроризму и экстремизму,





Основы профилактики и противодействия терроризму и экстремизму,




;Машинное обучение,

;;;;Иностранный язык, 

;Практикум по командной разработке,


 Архитектура программных систем,

Информационная безопасность, Дорофеев В.И. 

;; Архитектура программных систем,

;;Управление качеством разработки ПО, Будревич А.Д. 
Основы научной коммуникации,

;Практикум по управлению разработкой ПО,




;;;;;;;;;;;Профессиональный иностранный язык (английский), Гурьянов И.О., гр. №1 в ауд. 1412;;;; ;;Профессиональный иностранный язык (английский) 


15.50-17.20;История России,


Философия,

;Алгебра и геометрия,


Философия,



;;Алгоритмы и структуры данных,


Алгоритмы и структуры данных,


Алгоритмы и структуры данных в программировании,

Иностранный язык,


;;Машинное обучение,

;;;;;Базы данных,

;Теория вероятностей и математическая статистика,


;Иностранный язык,

;Практикум по командной разработке,


;;;Управление качеством разработки ПО, Будревич А.Д.
; Архитектура программных систем,

;;;Основы научной коммуникации,

Основы машинного обучения,



;;;;;;;Методология научной деятельности,


;;;Профессиональный иностранный язык (английский), Гурьянов И.О., гр. №1 в ауд. 1412;;;;;;Профессиональный иностранный язык (английский) 


17.30-19.00;Введение в проектную деятельность, (9 нед.) 





;;;;;;;;;Иностранный язык,


;;Дисциплины по выбору:


;;;;;;;;;Дисциплины по выбору:


;;Дисциплины по выбору:






;;;;;;;Дисциплины по выбору:



;Основы машинного обучения,


;;;;;;;Методология научной деятельности,


;;Практикум по исследовательской деятельности,

Профессиональный иностранный язык (английский), Гурьянов И.О., гр. №2 в ауд. 1412;;;;Средства и инструменты программной инженерии Тощев А.С.по н.н. лекц. по ч.н. прак. (вебинары);Основы машинного обучения Агафонов А.А. в 1405;Профессиональный иностранный язык (английский) 


19.10-20.40;;;;;;;;;;;;Проектный практикум,

;Дисциплины по выбору:


;;;;;;;;;Дисциплины по выбору:


;;Дисциплины по выбору:






;;;;;;;Дисциплины по выбору:



;;;;;;;;;;;;Практикум по исследовательской деятельности,

Профессиональный иностранный язык (английский), Гурьянов И.О., гр. №2 в ауд. 1412;;;;Основы машинного обучения Агафонов А.А.( вебинары);Средства и инструменты программной инженерии Тощев А.С. по н.н. лекц. по ч.н. прак. в 1405;Профессиональный иностранный язык (английский) 


08.30-10.00;Иностранный язык в профессиональной сфере (1-9 нед.): Муфазалова Н.И в 1301, Бибик Е.А. в 1302, Гатиятуллина Г.М. в 1303, Тагиров Р.М. в 1304, Шарифуллина Э.А. в 1305, Булина Е.Н. в 1306 
;;;; ;;Введение в проектную деятельность,


;Алгоритмы и структуры данных в программировании,
;;История России лек. 



;;;;;;;;;;;;Иностранный язык, 


Дисциплина по выбору:
;;;;;;;;;;;;;;;;;;;;;;;;;                
10.10-11.40;Дискретная математика, 


;;;Математический анализ,


Иностранный язык: Муфазалова Н.И (онлайн по 1 мая) в 1301, 


;Иностранный язык: 



;Компьютерная математика, прак.
Русский язык и культура речи, Галиулина И.Р.

;Иностранный язык,


;;;;;;;;;;;Практикум по командной разработке,


Иностранный язык, 


Дисциплина по выбору:



12.10-13.40;Дискретная математика,


Алгебра и геометрия,

Алгебра и геометрия,


Информатика и программирование, 

История России,



Иностранный язык: Муфазалова Н.И (онлайн по 1 мая) в 1301, 



;Иностранный язык: 


;;;Русский язык и культура речи, Галиулина И.Р.

Линейная алгебра для IT,




;;Теория вероятностей и математическая статистика,


;Основы профилактики и противодействия терроризму и экстремизму,




Основы профилактики и противодействия терроризму и экстремизму,




;Теория вероятностей и математическая статистика,


;;Иностранный язык,

;Инновационная экономика и технологическое предпринимательство,




Дисциплина по выбору:

13.50-15.20;Алгебра и геометрия,


;;Информатика и программирование, 

Иностранный язык




;Иностранный язык





Алгебра и геометрия, Ямалеев М.М., 

;Иностранный язык,

Философия,


;Проектный практикум, лек.


Основы профилактики и противодействия терроризму и экстремизму,



;;;;Основы профилактики и противодействия терроризму и экстремизму,



;;;;Иностранный язык,

;Теория вероятностей и математическая статистика,



Элективные курсы по физической культуре и спорту  УНИКС, 14:00 - 15:30     ;;;;;;;;  Элективные курсы по физической культуре и спорту, 14:00 - 15:30, (ЦОР)
;Элективные курсы по физической культуре и спорту 14:00 - 15:30     
;;;;;;;Основы информационного поиска,


Методология научной деятельности,


Основы информационного поиска,



15.50-17.20;;;;;Иностранный язык





;Иностранный язык




История России,



Дискретная математика,


Иностранный язык


Философия,


;Проектный практикум, прак.


Основы профилактики и противодействия терроризму и экстремизму,



Основы профилактики и противодействия терроризму и экстремизму,



Машинное обучение,


Машинное обучение,


;Базы данных, Хайруллин А.Ф., 
;;;;Практикум по командной разработке,

;Основы разработки информационных систем, практ., 



Инновационная экономика и технологическое предпринимательство,




;;;Инновационная экономика и технологическое предпринимательство,



;;;;;;;;;;;;;Основы информационного поиска,


Основы информационного поиска,


Методология научной деятельности,


;Правовые основы информатизации Никитин Д.В. лекция 9 нед. в 1509;;;Нарративный дизайн Костюк Д.И.(34ч.)в ауд.1408;Профессиональный иностранный язык (английский) 
Правовые аспекты использования систем искусственного интеллекта  лекция по ч.н.Хасанов Р.А.,  в ауд.1301
17.30-19.00;Введение в проектную деятельность, 

;;;;;;;;;Алгоритмы и структуры данных в программировании,


;;Дисциплины по выбору:





;;;;;;;;;Практикум по командной разработке,

;;Информационная безопасность, Мулюков Р.И.  

;Архитектура программных систем,


;;;Практика лаборатории WEB-разработка
Практика лаборатории WEB-разработка
Практика лаборатории WEB-разработка
Практика лаборатории WEB-разработка
;Дисциплины по выбору (1-9 нед.):




;;;;;;;;;Методологии разработки,


